profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate,avg_win,avg_loss,cagr,sharpe_valid,pf_valid
0.07,0.04,14:45:00,0.01,54,-0.0188,-12.2323,0.1873,-0.0191,0.1111,722.93,-482.57,-0.013,-12.2323,0.1873
0.07,0.06,11:30:00,0.0,96,-0.0246,-9.4326,0.2372,-0.0254,0.1979,402.06,-418.21,-0.0169,-9.4326,0.2372
0.07,0.06,11:30:00,0.003,82,-0.0221,-9.822,0.2192,-0.023,0.2073,364.72,-435.16,-0.0152,-9.822,0.2192
0.07,0.06,11:30:00,0.005,73,-0.0189,-9.3874,0.2354,-0.0198,0.2055,387.29,-425.45,-0.013,-9.3874,0.2354
0.07,0.06,11:30:00,0.01,54,-0.0149,-9.4571,0.2393,-0.0154,0.1852,467.44,-443.89,-0.0102,-9.4571,0.2393
0.07,0.06,12:00:00,0.0,96,-0.0266,-9.7199,0.2259,-0.0273,0.1875,431.07,-440.46,-0.0183,-9.7199,0.2259
0.07,0.06,12:00:00,0.003,82,-0.0237,-10.0981,0.2107,-0.0244,0.1951,395.03,-454.6,-0.0163,-10.0981,0.2107
0.07,0.06,12:00:00,0.005,73,-0.0193,-9.3013,0.2408,-0.0201,0.2055,408.88,-439.1,-0.0133,-9.3013,0.2408
0.07,0.06,12:00:00,0.01,54,-0.0147,-8.9958,0.2516,-0.0152,0.1852,492.45,-444.92,-0.0101,-8.9958,0.2516
0.07,0.06,13:00:00,0.0,96,-0.0293,-9.2176,0.2522,-0.0312,0.1875,549.02,-502.42,-0.0202,-9.2176,0.2522
0.07,0.06,13:00:00,0.003,82,-0.0255,-9.2863,0.2488,-0.0276,0.1951,527.71,-514.11,-0.0176,-9.2863,0.2488
0.07,0.06,13:00:00,0.005,73,-0.0227,-10.2562,0.2278,-0.0235,0.1918,478.0,-497.87,-0.0156,-10.2562,0.2278
0.07,0.06,13:00:00,0.01,54,-0.0172,-10.388,0.2224,-0.0178,0.1852,492.03,-502.91,-0.0118,-10.388,0.2224
0.07,0.06,14:00:00,0.0,96,-0.0333,-10.3138,0.2198,-0.0352,0.1354,720.52,-513.5,-0.023,-10.3138,0.2198
0.07,0.06,14:00:00,0.003,82,-0.0294,-10.5581,0.2124,-0.0319,0.1341,720.72,-525.67,-0.0203,-10.5581,0.2124
0.07,0.06,14:00:00,0.005,73,-0.0259,-11.5568,0.1933,-0.0269,0.137,619.9,-508.91,-0.0178,-11.5568,0.1933
0.07,0.06,14:00:00,0.01,54,-0.0198,-11.7959,0.1833,-0.0206,0.1296,635.05,-515.88,-0.0136,-11.7959,0.1833
0.07,0.06,14:45:00,0.0,96,-0.0342,-10.3814,0.2179,-0.0368,0.1458,681.21,-533.78,-0.0236,-10.3814,0.2179
0.07,0.06,14:45:00,0.003,82,-0.0301,-10.6321,0.2112,-0.0331,0.1341,733.5,-538.08,-0.0208,-10.6321,0.2112
0.07,0.06,14:45:00,0.005,73,-0.0266,-11.5705,0.1927,-0.0278,0.137,633.96,-522.18,-0.0183,-11.5705,0.1927
0.07,0.06,14:45:00,0.01,54,-0.0203,-11.7814,0.1779,-0.0212,0.1296,626.24,-524.29,-0.014,-11.7814,0.1779
0.07,0.08,11:30:00,0.0,96,-0.0252,-9.5,0.2323,-0.026,0.1979,402.06,-427.09,-0.0174,-9.5,0.2323
0.07,0.08,11:30:00,0.003,82,-0.0226,-9.846,0.2151,-0.0234,0.2073,364.72,-443.42,-0.0156,-9.846,0.2151
0.07,0.08,11:30:00,0.005,73,-0.02,-9.4892,0.2255,-0.0207,0.2055,387.29,-444.18,-0.0137,-9.4892,0.2255
0.07,0.08,11:30:00,0.01,54,-0.0159,-9.6266,0.2267,-0.0164,0.1852,467.44,-468.58,-0.011,-9.6266,0.2267
0.07,0.08,12:00:00,0.0,96,-0.027,-9.7399,0.2233,-0.0276,0.1875,431.07,-445.49,-0.0186,-9.7399,0.2233
0.07,0.08,12:00:00,0.003,82,-0.0239,-10.0664,0.2089,-0.0246,0.1951,395.03,-458.31,-0.0165,-10.0664,0.2089
0.07,0.08,12:00:00,0.005,73,-0.0204,-9.4332,0.2315,-0.021,0.2055,408.88,-456.8,-0.014,-9.4332,0.2315
0.07,0.08,12:00:00,0.01,54,-0.0157,-9.1949,0.2393,-0.0161,0.1852,492.45,-467.62,-0.0108,-9.1949,0.2393
0.07,0.08,13:00:00,0.0,96,-0.0289,-9.186,0.2547,-0.0308,0.1875,549.02,-497.49,-0.0199,-9.186,0.2547
0.07,0.08,13:00:00,0.003,82,-0.0254,-9.2488,0.2495,-0.0274,0.1951,527.71,-512.84,-0.0175,-9.2488,0.2495
0.07,0.08,13:00:00,0.005,73,-0.0232,-10.1954,0.2242,-0.0239,0.1918,478.0,-505.91,-0.016,-10.1954,0.2242
0.07,0.08,13:00:00,0.01,54,-0.0179,-10.4128,0.2157,-0.0184,0.1852,492.03,-518.32,-0.0123,-10.4128,0.2157
0.07,0.08,14:00:00,0.0,96,-0.0344,-10.4347,0.214,-0.0363,0.1354,720.52,-527.47,-0.0238,-10.4347,0.214
0.07,0.08,14:00:00,0.003,82,-0.0309,-10.7027,0.2043,-0.0333,0.1341,720.72,-546.49,-0.0213,-10.7027,0.2043
0.07,0.08,14:00:00,0.005,73,-0.0273,-11.6195,0.1852,-0.0282,0.137,619.9,-531.35,-0.0188,-11.6195,0.1852
0.07,0.08,14:00:00,0.01,54,-0.0214,-12.0166,0.1722,-0.0221,0.1296,635.05,-549.17,-0.0147,-12.0166,0.1722
0.07,0.08,14:45:00,0.0,96,-0.0343,-10.2394,0.2176,-0.0367,0.1458,681.21,-534.45,-0.0237,-10.2394,0.2176
0.07,0.08,14:45:00,0.003,82,-0.0306,-10.5011,0.2084,-0.0335,0.1341,733.5,-545.25,-0.0211,-10.5011,0.2084
0.07,0.08,14:45:00,0.005,73,-0.0275,-11.517,0.1872,-0.0287,0.137,633.96,-537.44,-0.019,-11.517,0.1872
0.07,0.08,14:45:00,0.01,54,-0.0213,-11.8456,0.1705,-0.0221,0.1296,626.24,-547.01,-0.0147,-11.8456,0.1705
0.1,0.04,11:30:00,0.0,96,-0.0253,-10.8939,0.1993,-0.0251,0.1979,331.16,-410.03,-0.0174,-10.8939,0.1993
0.1,0.04,11:30:00,0.003,82,-0.0226,-11.5912,0.1814,-0.0224,0.2073,294.22,-424.14,-0.0155,-11.5912,0.1814
0.1,0.04,11:30:00,0.005,73,-0.0197,-11.3212,0.1899,-0.0195,0.2055,307.38,-418.63,-0.0135,-11.3212,0.1899
0.1,0.04,11:30:00,0.01,54,-0.0155,-11.7371,0.183,-0.0153,0.1852,347.58,-431.63,-0.0107,-11.7371,0.183
0.1,0.04,12:00:00,0.0,96,-0.0272,-11.5574,0.1828,-0.027,0.1771,358.28,-421.83,-0.0188,-11.5574,0.1828
0.1,0.04,12:00:00,0.003,82,-0.0245,-12.6677,0.1585,-0.0243,0.1829,307.46,-434.25,-0.0169,-12.6677,0.1585
